electricity_facility [W],gas_facility [W]
9409.524719,3410.202826
9151.592056,3314.73272
8905.95761,3217.869954
8701.869849,3121.083559
8527.536722,3027.596553
8371.748621,2943.98419
8223.009186,2864.033451
8097.652244,2786.684324
7989.017602,2712.112412
8188.250614,2635.001477
8119.766041,2561.503223
8061.33677,2494.276262
8003.967479,2429.821716
7666.104916,2398.501028
7602.738448,2367.713858
7522.83054,2335.052275
7399.75682,2303.054926
7299.993508,2266.135085
7192.401114,2227.393693
7111.856114,2183.997777
7077.351418,2136.364752
7078.885235,2097.136319
7108.326065,2067.517034
7193.145046,2048.381618
7343.88995,2038.471067
7525.275091,2091.194755
7814.193237,2161.078179
8028.318965,2246.280599
8182.444157,2330.067364
7335.305935,2413.153501
7665.652338,2728.747557
7990.435283,2936.721254
8241.592585,3039.85016
7953.070994,3127.006466
8157.571213,3341.025969
8318.244653,3493.969959
8450.857712,3585.729269
8547.908907,3638.69434
8628.57156,3698.131974
8697.294549,3757.097917
8757.405883,3813.058232
8523.863111,3873.053427
8589.938524,3990.083351
8645.912868,4076.906844
8696.025787,4135.619499
8741.325067,4186.871493
8782.893428,4241.681322
8821.822345,4296.31746
8859.019483,4349.369593
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
20137.5545,19244.03119
19568.11622,11345.33135
16729.37116,9893.239626
15641.46514,9633.609001
15060.13647,9336.144723
14416.83426,8810.881373
13953.14706,8554.734451
13320.44821,8292.267909
14107.94575,7940.151142
13344.97897,7446.362745
12308.54584,7163.07862
11558.16744,6930.67474
10663.65345,6719.781916
9879.425787,6491.294457
9331.193948,6252.646529
8918.84814,6003.983691
